# Upstream v0.66.0 → v0.71.0 path disposition inventory
# Base: 0fc0eebb9604970c506708b7508d6aa38921fde2; target: 4af5e85a427b9f87334585ae8d0eb365d4dd2a1e
# Generated from git diff --name-status --find-renames. Disposition categories are explained in tasks/inventory-v0.71.md.
STATUS	FROM	TO	DISPOSITION
M	.github/workflows/release.yml		take upstream edit, then review Selesai branding/config paths
M	.github/workflows/test.yml		take upstream edit, then review Selesai branding/config paths
M	.gitignore		take upstream edit, then review Selesai branding/config paths
M	CHANGELOG.md		3-way conflict; resolve fork delta by inventory decision
M	README.md		take upstream edit, then review Selesai branding/config paths
M	VISION.md		take upstream edit, then review Selesai branding/config paths
M	agents/claude-code-writer.md		take upstream edit, then review Selesai branding/config paths
M	agents/codex-exec-writer.md		take upstream edit, then review Selesai branding/config paths
M	agents/cursor-agent-writer.md		take upstream edit, then review Selesai branding/config paths
A	agents/evidence-auditor.md		skip: upstream tool contract is unavailable in Selesai; see the fork-specific exclusion in the inventory
M	agents/reviewer.md		take upstream edit, then review Selesai branding/config paths
M	agents/worker.md		3-way conflict; resolve fork delta by inventory decision
M	docs/agents.md		3-way conflict; resolve fork delta by inventory decision
M	docs/configuration.md		3-way conflict; resolve fork delta by inventory decision
M	docs/extension-api.md		3-way conflict; resolve fork delta by inventory decision
M	docs/missions.md		3-way conflict; resolve fork delta by inventory decision
M	docs/models.md		3-way conflict; resolve fork delta by inventory decision
M	docs/observability.md		3-way conflict; resolve fork delta by inventory decision
A	docs/standalone-background.md		adopt upstream addition; apply documented fork and packaging exclusions
M	docs/tool-reference.md		take upstream edit, then review Selesai branding/config paths
M	docs/watchdog.md		3-way conflict; resolve fork delta by inventory decision
M	docs/workflows.md		take upstream edit, then review Selesai branding/config paths
A	examples/typed-gate/.gitignore		adopt upstream addition; apply documented fork and packaging exclusions
A	examples/typed-gate/.pi/agents/classifier.md		adopt upstream addition; apply documented fork and packaging exclusions
A	examples/typed-gate/README.md		adopt upstream addition; apply documented fork and packaging exclusions
A	examples/typed-gate/classify		adopt upstream addition; apply documented fork and packaging exclusions
A	examples/typed-gate/workflow.js		adopt upstream addition; apply documented fork and packaging exclusions
M	index.ts		take upstream edit, then review Selesai branding/config paths
M	inspector-runner.mjs		take upstream edit, then review Selesai branding/config paths
M	package-lock.json		3-way conflict; resolve fork delta by inventory decision
M	package.json		take upstream edit, then review Selesai branding/config paths
M	prompts/parallel-review.md		take upstream edit, then review Selesai branding/config paths
A	runner-peer-loader.mjs		adopt upstream addition; apply documented fork and packaging exclusions
A	runner-peer-preload.mjs		adopt upstream addition; apply documented fork and packaging exclusions
D	runner-server-preload.mjs		replace with runner-peer-loader.mjs + runner-peer-preload.mjs
A	scripts/build-package.mjs		skip: root scripts/copy-extensions.mjs owns package build (D5)
M	skills/pi-subagents/SKILL.md		take upstream edit, then review Selesai branding/config paths
M	skills/pi-subagents/references/constraints-and-recipes.md		take upstream edit, then review Selesai branding/config paths
M	skills/pi-subagents/references/execution-controls.md		3-way conflict; resolve fork delta by inventory decision
M	skills/pi-subagents/references/management-authoring-rpc.md		take upstream edit, then review Selesai branding/config paths
M	skills/pi-subagents/references/multi-lane-orchestration.md		take upstream edit, then review Selesai branding/config paths
M	skills/pi-subagents/references/prompting-and-roles.md		take upstream edit, then review Selesai branding/config paths
M	skills/pi-subagents/references/review-and-validation.md		take upstream edit, then review Selesai branding/config paths
M	src/agents/advertised-agent-prompt.ts		take upstream edit, then review Selesai branding/config paths
M	src/agents/agent-management.ts		3-way conflict; resolve fork delta by inventory decision
M	src/agents/agent-memory.ts		take upstream edit, then review Selesai branding/config paths
M	src/agents/agent-serializer.ts		take upstream edit, then review Selesai branding/config paths
M	src/agents/agents.ts		take upstream edit, then review Selesai branding/config paths
M	src/agents/builtin-names.ts		3-way conflict; resolve fork delta by inventory decision
M	src/agents/chain-serializer.ts		take upstream edit, then review Selesai branding/config paths
M	src/agents/proactive-skills.ts		take upstream edit, then review Selesai branding/config paths
M	src/agents/runtime-agent-registry.ts		take upstream edit, then review Selesai branding/config paths
M	src/agents/skills.ts		take upstream edit, then review Selesai branding/config paths
M	src/api/delegation.ts		take upstream edit, then review Selesai branding/config paths
M	src/api/preflight.ts		take upstream edit, then review Selesai branding/config paths
A	src/api/required-child-extensions.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	src/api/shared-types.ts		take upstream edit, then review Selesai branding/config paths
M	src/extension/config.ts		take upstream edit, then review Selesai branding/config paths
M	src/extension/doctor.ts		take upstream edit, then review Selesai branding/config paths
M	src/extension/fanout-child.ts		3-way conflict; resolve fork delta by inventory decision
A	src/extension/herdr-pi-bridge.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	src/extension/index.ts		3-way conflict; resolve fork delta by inventory decision
M	src/extension/public-execution.ts		take upstream edit, then review Selesai branding/config paths
M	src/extension/rpc.ts		take upstream edit, then review Selesai branding/config paths
M	src/extension/schemas.ts		take upstream edit, then review Selesai branding/config paths
A	src/extension/tool-activation.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	src/extension/tool-description.ts		3-way conflict; resolve fork delta by inventory decision
A	src/inspectors/actions.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	src/inspectors/ghostty/actions.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	src/inspectors/ghostty/plugin.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	src/inspectors/herdr/actions.ts		take upstream edit, then review Selesai branding/config paths
A	src/inspectors/herdr/plugin.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	src/inspectors/herdr/project-panes.ts		take upstream edit, then review Selesai branding/config paths
R090	src/inspectors/herdr/inspector-runner.ts	src/inspectors/inspector-runner.ts	adopt rename; run branding/path review
A	src/inspectors/plugins.ts		adopt upstream addition; apply documented fork and packaging exclusions
R067	src/inspectors/herdr/session-roots-codec.ts	src/inspectors/session-roots-codec.ts	adopt rename; run branding/path review
R100	src/inspectors/herdr/shell-command.ts	src/inspectors/shell-command.ts	adopt rename; run branding/path review
A	src/inspectors/types.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	src/intercom/intercom-bridge.ts		take upstream edit, then review Selesai branding/config paths
M	src/intercom/native-supervisor-channel.ts		3-way conflict; resolve fork delta by inventory decision
M	src/intercom/result-intercom.ts		take upstream edit, then review Selesai branding/config paths
M	src/policy/authority.ts		take upstream edit, then review Selesai branding/config paths
M	src/profiles/profiles.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/background/active-async-capacity.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/background/active-run-index.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/background/async-execution.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/background/async-job-tracker.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/background/async-resume.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/background/async-status.ts		3-way conflict; resolve fork delta by inventory decision
M	src/runs/background/auto-drain.ts		take upstream edit, then review Selesai branding/config paths
A	src/runs/background/binary-bootstrap.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	src/runs/background/chain-append.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/background/chain-root-attachment.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/background/fleet-view.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/background/notify.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/background/owned-process-tree.ts		take upstream edit, then review Selesai branding/config paths
A	src/runs/background/process-terminal-candidate.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	src/runs/background/process-terminal.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/background/result-files.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/background/result-watcher.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/background/retained-children.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/background/run-child-session.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/background/run-id-resolver.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/background/run-status.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/background/runner-aliases.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/background/runner-child-launch.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/background/runner-child-sessions.ts		take upstream edit, then review Selesai branding/config paths
A	src/runs/background/runner-http-dispatcher.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	src/runs/background/runner-startup-failure.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	src/runs/background/scheduled-runs.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/background/stale-run-reconciler.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/background/steering.ts		take upstream edit, then review Selesai branding/config paths
A	src/runs/background/subagent-runner-bootstrap.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	src/runs/background/subagent-runner.ts		3-way conflict; resolve fork delta by inventory decision
M	src/runs/background/subagent-wait.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/background/wait-completions.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/background/wait-subscriptions.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/background/wait-tool.ts		3-way conflict; resolve fork delta by inventory decision
A	src/runs/background/workflow-terminal-proof.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	src/runs/foreground/async-steering-action.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/foreground/async-stop-action.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/foreground/execution.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/foreground/foreground-history.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/foreground/prompt-audit.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/foreground/subagent-executor.ts		3-way conflict; resolve fork delta by inventory decision
M	src/runs/foreground/workflow-detach-reconcile.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/foreground/workflow-foreground-steering.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/shared/acceptance.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/shared/async-status-projection.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/shared/capability-ceiling.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/shared/child-hooks.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/shared/child-launch-plan.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/shared/child-launch.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/shared/child-lifecycle.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/shared/child-runtime-config.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/shared/child-session.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/shared/child-tool-plan.ts		take upstream edit, then review Selesai branding/config paths
D	src/runs/shared/completion-evidence.ts		adopt upstream removal; fork-owned behavior/docs/tests reconciled separately
D	src/runs/shared/completion-guard.ts		adopt upstream removal; fork-owned behavior/docs/tests reconciled separately
M	src/runs/shared/dynamic-fanout.ts		take upstream edit, then review Selesai branding/config paths
A	src/runs/shared/effective-system-prompt.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	src/runs/shared/external-cli-contract.ts		3-way conflict; resolve fork delta by inventory decision
M	src/runs/shared/external-cli-preflight.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/shared/external-cli-runner.ts		take upstream edit, then review Selesai branding/config paths
A	src/runs/shared/git-environment.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	src/runs/shared/herdr-connection.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	src/runs/shared/herdr-external-adapters.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	src/runs/shared/herdr-machine.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	src/runs/shared/herdr-pi-protocol.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	src/runs/shared/herdr-placed-run.ts		adopt upstream addition; apply documented fork and packaging exclusions
D	src/runs/shared/llm-intent-arbiter.ts		adopt upstream removal; fork-owned behavior/docs/tests reconciled separately
M	src/runs/shared/mcp-config-sources.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/shared/mcp-direct-tool-allowlist.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/shared/mcp-direct-tool-grant.ts		take upstream edit, then review Selesai branding/config paths
D	src/runs/shared/model-exclusions.ts		adopt upstream removal; fork-owned behavior/docs/tests reconciled separately
A	src/runs/shared/model-resolution-diagnostic.ts		adopt upstream addition; apply documented fork and packaging exclusions
R062	src/runs/shared/model-fallback.ts	src/runs/shared/model-resolution.ts	3-way rename conflict; preserve fork delta and reconcile per inventory
M	src/runs/shared/model-scope.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/shared/nested-events.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/shared/orca-progress-tabs.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/shared/parallel-utils.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/shared/pi-spawn.ts		3-way conflict; resolve fork delta by inventory decision
D	src/runs/shared/readonly-model-continuation.ts		adopt upstream removal; fork-owned behavior/docs/tests reconciled separately
D	src/runs/shared/readonly-session-evidence.ts		adopt upstream removal; fork-owned behavior/docs/tests reconciled separately
M	src/runs/shared/single-output.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/shared/structured-output.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/shared/subagent-control.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/shared/subagent-prompt-runtime.ts		take upstream edit, then review Selesai branding/config paths
D	src/runs/shared/task-intent.ts		adopt upstream removal; fork-owned behavior/docs/tests reconciled separately
M	src/runs/shared/tool-availability.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/shared/tool-budget.ts		take upstream edit, then review Selesai branding/config paths
A	src/runs/shared/usage-reconciliation.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	src/runs/shared/workflow-async-child-guidance.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	src/runs/shared/worktree-setup-command.ts		take upstream edit, then review Selesai branding/config paths
M	src/runs/shared/worktree.ts		take upstream edit, then review Selesai branding/config paths
A	src/shared/child-cache-retention.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	src/shared/child-session-name.ts		take upstream edit, then review Selesai branding/config paths
M	src/shared/fork-context.ts		take upstream edit, then review Selesai branding/config paths
